#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  5.1266e-02   5.1230e-02  -2.9715e+00   2.0606e-01   9.1455e-02   1.5000e+02   1.1956e+02   1.2246e+02   1.5000e+02
  5.3894e-02   5.3873e-02  -2.9212e+00   3.7277e-01   8.6825e-02   1.8200e+02   1.3265e+02   1.3260e+02   1.8200e+02
  5.6657e-02   5.6718e-02  -2.8698e+00   2.4439e-01   8.2594e-02   1.8100e+02   1.4659e+02   1.4588e+02   1.8100e+02
  5.9562e-02   5.9642e-02  -2.8195e+00   2.9037e-01   7.8731e-02   2.0800e+02   1.6133e+02   1.6124e+02   2.0800e+02
  6.2616e-02   6.2776e-02  -2.7683e+00   2.6828e-01   7.4751e-02   2.2400e+02   1.7896e+02   1.7748e+02   2.2400e+02
  6.5827e-02   6.5778e-02  -2.7216e+00   2.4973e-01   7.1053e-02   2.4400e+02   1.9808e+02   1.9631e+02   2.4400e+02
  6.9202e-02   6.9186e-02  -2.6711e+00   2.0613e-01   6.7722e-02   2.7000e+02   2.1804e+02   2.2155e+02   2.7000e+02
  7.2750e-02   7.2771e-02  -2.6205e+00   2.3440e-01   6.4415e-02   3.0000e+02   2.4101e+02   2.4226e+02   3.0000e+02
  7.6480e-02   7.6477e-02  -2.5709e+00   2.1902e-01   6.1221e-02   3.2700e+02   2.6680e+02   2.6768e+02   3.2700e+02
  8.0401e-02   8.0444e-02  -2.5203e+00   1.6242e-01   5.8179e-02   3.3900e+02   2.9544e+02   2.9323e+02   3.3900e+02
  8.4523e-02   8.4620e-02  -2.4697e+00   2.5107e-01   5.5405e-02   4.1100e+02   3.2577e+02   3.2749e+02   4.1100e+02
  8.8857e-02   8.8957e-02  -2.4197e+00   2.9786e-01   5.2715e-02   4.7100e+02   3.5986e+02   3.6184e+02   4.7100e+02
  9.3412e-02   9.3398e-02  -2.3710e+00   2.6585e-01   5.0170e-02   5.0500e+02   3.9729e+02   3.9834e+02   5.0500e+02
  9.8202e-02   9.8250e-02  -2.3203e+00   2.7038e-01   4.7647e-02   5.5600e+02   4.4048e+02   4.3869e+02   5.5600e+02
  1.0324e-01   1.0340e-01  -2.2692e+00   1.9872e-01   4.5349e-02   5.7800e+02   4.8625e+02   4.8381e+02   5.7800e+02
  1.0853e-01   1.0865e-01  -2.2198e+00   3.0096e-01   4.3134e-02   6.9800e+02   5.3748e+02   5.3686e+02   6.9800e+02
  1.1409e-01   1.1418e-01  -2.1701e+00   2.1360e-01   4.1039e-02   7.1000e+02   5.9374e+02   5.8846e+02   7.1000e+02
  1.1994e-01   1.1992e-01  -2.1210e+00   1.9800e-01   3.9067e-02   7.8500e+02   6.5520e+02   6.5523e+02   7.8500e+02
  1.2609e-01   1.2622e-01  -2.0698e+00   1.7751e-01   3.7129e-02   8.4200e+02   7.2539e+02   7.1931e+02   8.4200e+02
  1.3256e-01   1.3272e-01  -2.0196e+00   2.2344e-01   3.5352e-02   9.7400e+02   8.0017e+02   7.9769e+02   9.7400e+02
  1.3935e-01   1.3936e-01  -1.9708e+00   1.7914e-01   3.3652e-02   1.0510e+03   8.8304e+02   8.8793e+02   1.0510e+03
  1.4650e-01   1.4665e-01  -1.9198e+00   2.3795e-01   3.1997e-02   1.2120e+03   9.7674e+02   9.7816e+02   1.2120e+03
  1.5401e-01   1.5407e-01  -1.8704e+00   2.0038e-01   3.0420e-02   1.2930e+03   1.0806e+03   1.0786e+03   1.2930e+03
  1.6191e-01   1.6192e-01  -1.8208e+00   1.9032e-01   2.8938e-02   1.4320e+03   1.1942e+03   1.1995e+03   1.4320e+03
