ra,dec,u,g,r,i,z
161.543141593531,51.0383942155346,21.65599,20.9712,20.24747,19.83802,19.47929
161.543141626141,51.0383942211653,21.65356,20.9662,20.24069,19.83078,19.47458
161.543925200482,51.0859082450185,23.57543,23.23163,23.83705,24.49529,22.48263
161.547454483912,51.0794500473274,24.4465,22.63664,21.27801,20.72388,20.36202
161.547992973153,51.0730429898972,25.59126,22.28422,21.30793,20.59597,20.76339
161.54820552173,51.0019826446288,22.78794,22.73712,22.43785,21.84705,21.47384
161.54839374591,51.0760581544536,26.8714,20.12819,19.70524,19.30595,23.26369
161.548825883635,51.0427525492567,23.74461,23.86216,22.60911,22.9126,21.89452
161.549093983809,51.0398234430306,24.28609,21.61819,20.32532,19.6272,19.19835
161.550776497457,51.0711683528352,20.17087,18.03249,17.21872,16.89648,16.64698
161.550782360056,51.0711745445993,20.09255,18.03126,17.21597,16.89101,16.6465
161.551419580867,51.1215999425008,-9999,-9999,-9999,-9999,-9999
161.551457912522,51.1216056695452,23.84542,22.77052,22.09198,21.50469,22.38871
161.552306360538,50.9878425621483,25.88413,24.84117,22.84135,24.21345,22.62449
161.552494862817,51.0151791119479,23.14028,23.50229,23.20789,21.95502,21.38807
161.552785672575,51.0562989578993,25.29146,23.62215,22.95811,22.05556,21.71524
161.552817693269,51.0805805667577,24.36806,23.48638,24.56669,24.97069,23.09647
161.55288378938,51.0868996038464,25.69954,24.597,24.47327,22.76552,23.11621
161.553171875353,51.0748683088533,23.43116,23.47634,24.20014,24.06057,23.01148
161.553203383019,51.1297692976279,22.86508,22.486,21.77808,21.91674,21.49069
161.553212768872,51.1297692523796,22.53126,22.4936,21.85234,21.86508,21.40904
161.553397345041,51.0462952941651,22.91877,22.93048,21.25281,20.13514,19.61351
161.554466558395,51.0393563961632,23.1733,22.94838,22.32011,21.77958,21.20347
161.554655538339,51.0954144638611,21.50179,19.39522,19.33103,18.80003,18.65081
161.555036439999,50.9694239581174,23.00103,24.28962,21.96458,21.70881,21.23648
161.555104690136,51.0913581561258,24.5596,23.97523,22.68495,21.23245,20.94115
161.555120754291,50.9761118008093,23.62105,26.65158,23.3629,21.00888,21.1449
161.555999572414,51.137810844813,23.36783,23.0049,22.00604,21.66554,21.67596
161.556000087681,51.137814112241,23.57611,23.0102,21.93427,21.63777,21.6021
161.556210362253,51.1429231047494,24.09408,22.76441,21.4623,21.23291,20.58806
161.556222358443,51.1429194949105,23.91266,22.61278,21.5237,21.33843,20.86301
161.556836694173,50.9744500493689,24.41295,24.36989,22.63263,21.11657,21.25185
161.556836724392,50.9744500545902,24.49331,24.35229,22.59871,21.09016,21.23457
161.556963777437,50.9745154121921,23.07044,24.105,21.38699,20.62365,20.94977
161.557024650928,51.1230653956807,22.97513,22.41066,21.34519,20.81755,20.22063
161.557026188765,51.1230665318752,22.71769,21.87204,21.30067,20.75435,20.09538
161.557154220102,51.0465314623714,25.10779,25.70014,24.12587,23.13833,20.71452
161.557310395038,51.1156662177879,-9999,-9999,-9999,-9999,-9999
161.557321234701,51.1156585873607,22.83624,22.55711,21.95561,21.74491,21.76735
161.557371754455,51.078900020206,24.22016,25.05976,24.75888,24.3608,22.68157
161.558095257461,51.0772003660432,23.35943,21.16392,21.05241,21.17288,22.63931
161.558390127982,51.0759051377651,23.54821,22.21798,21.66519,21.31311,22.19685
161.558448889846,51.0831423998768,23.56957,22.73746,22.25294,22.4939,22.32347
161.558453039568,51.0131911581929,21.09319,20.1058,19.56396,19.23031,19.09449
161.558618579681,51.0780392639908,24.07408,21.60321,21.51487,21.8417,22.82691
161.5587347042,51.0412836274346,23.68519,22.16585,21.30893,21.13498,21.63326
161.55885410307,51.0186894616819,25.44105,23.87056,22.61554,21.66864,20.85517
161.559297589092,51.0101221279721,26.27638,22.18684,21.14536,20.61872,20.22128
161.559596148307,51.0638070696234,24.1126,24.52455,25.44205,22.54561,22.01835
161.559731157636,51.0535061397044,25.01053,22.30943,20.88885,20.21235,19.8932
161.559735288892,51.0847524555902,25.90533,23.26885,22.82934,23.44124,22.97847
161.559861660324,51.0805347784009,24.74568,21.84623,21.8504,22.48741,22.82691
161.559944969185,51.075329476094,22.92764,21.68475,21.4294,21.33291,22.82692
161.560134620706,51.1434374834171,-9999,-9999,-9999,-9999,-9999
161.560181461996,50.9801129605585,23.67616,23.93885,23.11976,21.63313,21.51886
161.560184724098,50.9801112064686,24.54513,24.0437,22.10593,21.43295,21.46481
161.560426146198,51.1434898879786,22.71106,22.88082,21.47499,21.17827,21.11299
161.560427058708,51.1434900467755,22.84671,22.94413,21.58882,21.51778,21.26471
161.560538379254,51.0847293448321,23.75805,22.39301,22.70179,22.64417,22.96828
161.560648324635,50.982136438796,25.30713,23.92789,22.10905,22.6088,22.61688
161.560700161966,51.0814301325372,23.94577,22.42049,22.09574,22.73295,22.8269
161.560704290648,51.0649124597285,24.72845,25.6792,25.73732,22.71357,23.17592
161.561307120108,50.9930885499699,22.89089,21.70377,21.27544,21.07986,21.07042
161.561342970726,51.0696443792826,24.30109,23.38891,22.39421,22.04377,22.50892
161.561990002924,51.1325559695239,23.07178,22.68539,22.04164,21.79707,21.0523
161.561993852728,51.1325476710703,23.02961,22.64122,22.01523,21.70511,21.14361
161.562265535786,51.1440726114318,24.19294,24.74937,22.77592,22.23059,21.46754
161.56252912639,51.0326541009053,19.62984,18.71668,18.45466,18.34603,18.30779
161.562534187383,51.0326595095473,19.58149,18.71609,18.4519,18.34023,18.31783
161.562588971598,51.0698042095144,25.02348,23.31737,21.74881,21.15656,21.33668
161.562755059446,51.0623181333097,23.82791,24.73673,23.02544,22.01162,22.40253
161.562836743383,51.1379615548271,22.78017,22.99368,23.18148,22.35944,21.6709
161.562848384687,51.1379577798013,-9999,-9999,-9999,-9999,-9999
161.563033775409,51.0520838270169,25.47317,24.22615,22.88644,21.72327,20.74269
161.563215999304,50.9757068833869,26.00707,23.15062,21.90633,21.22725,20.78529
161.563253902118,50.975679763837,24.18894,22.687,21.70252,21.24828,21.20557
161.563426785652,51.0816519847869,22.79157,21.3177,21.3933,21.8097,22.82691
161.563597848289,51.0709930063384,23.67325,21.2247,20.6186,20.1692,22.04436
161.56367439256,51.0738227034656,24.73413,22.46132,22.70504,22.98768,22.82691
161.563743877502,51.1484705572085,22.26249,21.45485,21.49157,21.06371,20.87195
161.563743898286,51.1484705610877,22.2627,21.45349,21.49133,21.06987,20.87591
161.563996719351,51.0864802112997,24.55772,24.98124,23.34166,24.04279,21.71161
161.564033687073,51.0637359779961,25.34573,23.9358,21.98323,21.76054,22.85966
161.564297556869,51.0904307444059,24.61668,23.69195,21.08676,20.08503,19.65418
161.565083093855,51.0870928423585,23.84822,23.89762,24.30416,24.2289,22.66449
161.565255145165,50.9562360598232,24.19669,23.97232,22.01649,21.35466,21.06208
161.5660196713,50.9757924024483,24.64494,21.83274,20.21348,19.67294,19.23558
161.566019671497,50.9757924027994,24.63393,21.87673,20.24628,19.70602,19.28263
161.566030829892,50.9757447096469,21.94758,22.00289,20.55374,19.92593,19.59054
161.566030831328,50.9757447098947,21.97341,21.96078,20.51027,19.88283,19.55581
161.566155279894,51.078525699816,16.392,14.91724,14.28499,13.95189,13.68828
161.566185390405,50.9855362343786,-9999,-9999,-9999,-9999,-9999
161.566214082797,51.0198836686807,21.39383,18.90243,17.44229,15.91929,15.09927
161.566214082797,51.0198836686807,21.39456,18.90248,17.44229,15.91919,15.09933
161.56621480952,50.9855719054612,22.28944,21.65325,21.23145,20.87899,20.46644
161.566218903524,51.0198885922574,21.29553,18.90227,17.44123,15.91749,15.09986
161.566365121209,51.154003610212,23.3588,23.08768,22.96048,22.89738,23.20152
161.566413490714,51.1482302146325,23.92395,22.82747,22.50389,21.43513,21.14048
161.566573021485,50.9779521638666,23.55646,24.57464,23.85837,24.27411,20.84671
161.566730434808,51.1001060620665,23.97656,22.83839,22.62763,22.29515,22.27409
161.567285583665,51.1723969422409,24.75922,23.74339,23.31626,21.6547,21.33557
161.567521556538,51.0673393378715,14.60096,12.78538,14.35774,15.00678,13.12611
161.567524511549,51.0188906259273,23.9333,23.34488,22.51383,21.81022,21.34991
161.567529158087,51.0673406457491,14.71294,16.85474,13.98405,15.95067,13.02516
161.567540006154,51.0815815264545,21.87969,22.04326,21.95175,22.14528,22.82691
161.56764438403,51.1013031047243,23.15439,22.55855,22.92948,22.9674,22.24191
161.5678091486,50.9342794917981,24.5363,23.47951,21.57902,20.92252,20.19025
161.567940076768,50.965193558345,22.99242,20.91354,19.39182,17.7929,16.96468
161.56795135813,50.9651975332591,22.97729,20.93607,19.40609,17.79776,16.97163
161.567951544,50.9651975869132,23.10689,20.93259,19.3994,17.79315,16.96847
161.568354412487,50.9880800199042,25.11582,22.98537,22.28257,22.78748,22.38455
161.568483539517,51.0122011312523,23.91907,23.61561,22.49026,21.80862,21.63403
161.568798445749,51.0101181314699,25.08064,23.21523,21.83289,19.92523,19.05147
161.568837513399,51.0854473782037,23.51445,22.31616,21.49385,21.23153,21.75532
161.568864886251,51.0250103717659,21.22421,20.39933,20.09604,19.98178,20.14091
161.56891950949,51.0741302881346,24.03246,22.35018,22.26663,22.70949,22.73673
161.569103837869,50.9654394182154,24.29514,23.40113,21.34488,20.8213,20.67586
161.56923608985,50.9311900691407,25.00455,23.2459,25.28384,22.77423,22.57937
161.569668663991,51.1235444324041,23.85363,23.11959,22.89557,21.84657,21.07699
161.569711741758,51.1235444392536,-9999,-9999,-9999,-9999,-9999
161.569753606991,51.1092436752211,24.09073,23.52798,23.00232,22.3386,22.64926
161.569948639893,51.0790924889225,22.41521,22.21726,22.8226,24.00732,22.8269
161.570045504879,51.1463988744934,26.04567,23.89593,22.2119,21.41002,21.33553
161.570347325612,51.0521350978545,25.30792,23.67574,22.01336,20.10092,19.13068
161.570490446361,50.941738271555,23.20327,25.58455,23.43309,22.66204,20.86466
161.570701678083,51.0078726599117,24.67239,23.82858,24.18233,21.91484,22.78402
161.570703579236,50.9761308497287,-9999,-9999,-9999,-9999,-9999
161.570718957043,50.9761005357754,26.49739,24.65303,23.38904,21.61798,21.53277
161.571290752451,51.083652401214,24.61618,23.27057,22.57341,22.21179,21.99641
161.571549919208,51.0796568423918,22.0724,21.74976,21.83205,21.78138,22.85258
161.571666128976,51.1706307091599,23.81437,22.97847,22.33629,22.7549,22.56369
161.571737440827,50.9931426323678,25.87166,22.73866,21.65497,21.07852,20.83274
161.571837881014,51.0847825964393,24.32573,22.82573,23.13843,22.28009,21.70269
161.571932809283,51.0618913004093,25.07049,22.91373,20.84092,20.19165,20.08161
161.572084883914,51.1596087890829,25.8274,22.30123,21.79813,21.44238,21.24685
161.572131630775,51.0828371517685,23.79921,22.53528,22.37746,22.79506,22.40043
161.572181246736,51.1249769503612,25.86162,24.36389,22.83169,22.31095,21.47931
161.572328602056,51.1015877285101,23.14197,25.14107,22.77431,21.17943,21.93804
161.572366613838,51.1015827674945,22.77429,23.66767,22.15026,20.70695,21.63756
161.572390715332,50.9409628607741,22.83436,22.67019,21.81608,21.72052,20.70548
161.572390715833,50.9409628616682,22.78701,22.6703,21.81565,21.72083,21.90117
161.572994543616,51.1555908604996,24.81111,24.04192,22.3208,21.16652,20.62954
161.573274970785,50.9630505801123,23.39358,24.78343,21.94174,21.60822,20.92176
161.57351655822,50.9972421774296,21.31615,20.37975,20.01373,19.71866,19.70751
161.573533590748,51.1416609802208,23.41285,22.84694,22.40844,22.49629,21.47485
161.573643499632,51.1775297998264,23.13284,22.09234,20.57046,19.74265,19.4405
161.573717392133,51.0650140701287,24.08776,25.02043,22.29842,21.96125,22.72133
161.573911131384,50.981046642868,21.44379,20.85088,20.37613,20.217,20.37164
161.573911922377,50.9810467793953,21.41658,20.85064,20.37613,20.41357,20.1108
161.573946202774,50.9810489137089,21.80597,20.71007,20.18826,19.90095,20.00356
161.574068719827,51.1295470530416,26.09213,23.55261,23.3651,22.09933,21.36503
161.57424450424,51.1501224649665,21.54975,20.9029,20.09138,19.79252,19.27237
161.574402576428,51.0702697534541,24.38255,25.45859,24.81993,22.23286,21.69127
161.574776949512,51.1361125918142,24.93219,24.66742,22.64496,22.02758,21.65022
161.574996358958,51.0044687124248,25.40283,24.23266,23.8239,21.37708,20.97718
161.575092130299,51.064704878133,25.24435,23.39653,25.6677,22.64995,21.86378
161.575097053671,51.0867805088334,25.08948,23.70543,24.02728,24.94416,23.16253
161.575191844143,51.0027082598617,23.5308,23.46306,22.83873,22.60276,21.74304
161.57520541067,50.958378881213,23.58585,22.64227,21.45008,20.86363,20.54458
161.57538013357,50.9845202404537,25.23296,21.67897,26.33045,25.68938,21.20179
161.575460570292,51.1131701117047,-9999,-9999,-9999,-9999,-9999
161.575492954033,51.0928451709029,24.05834,21.6776,20.38485,19.73863,19.29369
161.575492954033,51.0928451709029,23.46751,21.6776,20.38485,19.73863,19.29369
161.57549771894,51.0928467433865,23.57905,21.27041,20.15828,19.55212,19.17973
161.575497718963,51.0928467433905,23.47622,21.27038,20.15824,19.55208,19.1797
161.575645822801,51.1570094508078,22.62159,22.6845,21.1114,20.22369,19.55449
161.575822193007,50.9690655933305,22.91981,23.84785,22.2758,21.68578,21.60039
161.575900423239,50.919129584063,25.51185,23.58239,23.52447,21.75719,21.15681
161.576364006038,51.0491047915813,29.2267,19.7193,19.17208,20.26978,27.1128
161.576468658571,50.9598528540485,24.08398,22.13094,20.71856,20.03999,19.53959
161.576471514091,50.9598420696631,24.09948,22.08008,20.67403,19.99711,19.50071
161.576692933638,50.9300147720127,22.21883,22.98324,22.65615,22.57581,22.41816
161.576860131731,51.0223139857476,26.07675,22.50848,20.96125,20.38856,19.80014
161.577086475772,50.9650091012476,25.63346,23.37541,21.72198,21.2681,20.76745
161.577254845297,51.0967101330487,23.40479,22.82309,21.20163,20.50063,20.32006
161.577258746711,51.0967063938265,22.97626,22.02282,20.56074,19.85707,19.84177
161.577503295186,51.1661490918886,24.57104,25.56304,22.84615,22.15847,22.82506
161.577656072199,51.0745744083935,24.71099,25.13186,24.4506,22.56055,23.04434
161.577670763339,51.1553911921549,23.66226,23.81929,22.50009,21.99997,21.97293
161.577804814867,51.1180643094282,24.36678,24.63424,24.23349,23.79349,20.47126
161.577890511336,51.0867625765433,23.48799,23.77466,23.04602,23.81624,22.86215
161.578162539509,51.0814100423088,25.05473,24.85777,23.59086,23.12712,22.90988
161.578195351673,51.0766402933384,24.2503,24.79281,23.51741,24.28489,22.5229
161.578387167676,50.9851569254085,23.11152,21.32791,23.22296,26.15579,19.93233
